許可證號碼,普通名稱,廠牌名稱,劑型,含量,Under Permit ,混合,廠商名稱,國外原製造廠,有效日期,備註,標示,條碼,使用範圍
農藥製              05741,亞滅培,利統勇,SP  水溶性粉劑,20(%) (w/w),,,利台化學工業股份有限公司,,117-12-18,,標示,條碼,使用範圍
農藥製              05742,待普克利,銹淨,EC  乳劑,45.5(%) (w/w),,A,洽益化學股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05743,嘉賜黴素,農賜福,SL  溶液,2(%) (w/w),,,日農科技股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05744,賽洛寧,好農夫,ME  微乳劑,2.5(%) (w/w),,,國豐化學工業股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05745,嘉賜銅,田董,WP  可溼性粉劑,81.3(%) (w/w),,A,臺聯實業股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05747,益達胺,億定安,SL  溶液,9.6(%) (w/w),,,億豐農化廠股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05748,嘉賜黴素,卡斯強,UL  超低容量液劑,3(%) (w/w),,,安旺特股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05749,得芬諾,蛾賣來,WP  可溼性粉劑,70(%) (w/w),,,國豐化學工業股份有限公司,,117-12-25,,標示,條碼,使用範圍
農藥製              05751,丁拉樂滅草,樂沒草,EC  乳劑,20(%) (w/w),,A,安旺特股份有限公司,,117-12-29,,標示,條碼,使用範圍
農藥製              05752,布芬第滅寧,双重發,EC  乳劑,11.78(%) (w/w),,A,臺聯實業股份有限公司,,117-12-29,,標示,條碼,使用範圍
農藥製              05753,待克利,攏珍順,WG  水分散性粒劑,10(%) (w/w),,,惠光股份有限公司,,117-12-30,,標示,條碼,使用範圍
農藥製              05754,毆蟎多,金螨意,EC  乳劑,57(%) (w/w),,,臺益工業股份有限公司,,117-12-30,,標示,條碼,使用範圍
農藥製              05756,氟氯比,免刈藤,EC  乳劑,29.64(%) (w/w),,,大勝化學工業股份有限公司,,118-01-05,,標示,條碼,使用範圍
農藥製              05757,嘉賜黴素,卡斯敏,SL  溶液,2(%) (w/w),,,安旺特股份有限公司,,118-01-09,,標示,條碼,使用範圍
農藥製              05759,嘉賜三賽唑,稻熱一優,WP  可溼性粉劑,20(%) (w/w),,A,利台化學工業股份有限公司,,118-01-14,,標示,條碼,使用範圍
農藥製              05760,因滅汀,菜蟲淨,EC  乳劑,2.15(%) (w/w),,,世大農化工廠股份有限公司,,118-01-14,,標示,條碼,使用範圍
農藥製              05761,腈硫克絕,生龍,WP  可溼性粉劑,35(%) (w/w),,A,臺聯實業股份有限公司,,118-01-16,,標示,條碼,使用範圍
農藥製              05762,亞滅培,有夠強,SP  水溶性粉劑,20(%) (w/w),,,立農化學股份有限公司,,118-01-19,,標示,條碼,使用範圍
農藥製              05763,貝芬待克利,雙吉,SC  水懸劑,17.8(%) (w/w),,A,臺聯實業股份有限公司,,118-01-27,,標示,條碼,使用範圍
農藥製              05764,三賽唑,粑穗,SC  水懸劑,41.7(%) (w/w),,,臺益工業股份有限公司,,118-01-27,,標示,條碼,使用範圍
農藥製              05765,待克利,速利菌,SC  水懸劑,24.9(%) (w/w),,,好速化學股份有限公司,,118-02-09,,標示,條碼,使用範圍
農藥製              05766,嘉賜快得寧,雙核心,WP  可溼性粉劑,43.5(%) (w/w),,A,利台化學工業股份有限公司,,118-02-09,,標示,條碼,使用範圍
農藥製              05767,祿芬隆,隆無蟲,EC  乳劑,4.4(%) (w/w),,,國豐化學工業股份有限公司,,118-02-09,,標示,條碼,使用範圍
農藥製              05768,撲克拉,田園寶,EW  水基乳劑,25(%) (w/w),,,正農化學股份有限公司,,118-02-12,,標示,條碼,使用範圍
農藥製              05769,待普克利,速滅銹,EC  乳劑,45.5(%) (w/w),,A,好速化學股份有限公司,,118-02-23,,標示,條碼,使用範圍
農藥製              05770,嘉賜黴素,禾康,UL  超低容量液劑,3(%) (w/w),,,惠光股份有限公司,,118-02-23,,標示,條碼,使用範圍
農藥製              05771,伏寄普,嘜草心,EC  乳劑,17.5(%) (w/w),,,臺益工業股份有限公司,,118-02-25,,標示,條碼,使用範圍
農藥製              05772,三元硫酸銅,泰強,SC  水懸劑,27.12(%) (w/w),,,興農股份有限公司,,118-02-25,,標示,條碼,使用範圍
農藥製              05773,達滅芬,速疫清,WP  可溼性粉劑,50(%) (w/w),,,好速化學股份有限公司,,118-04-01,,標示,條碼,使用範圍
農藥製              05774,菲克利,酷斯拉,SC  水懸劑,23(%) (w/w),,,利台化學工業股份有限公司,,118-04-01,,標示,條碼,使用範圍
農藥製              05775,嘉賜黴素,顧田園,UL  超低容量液劑,3(%) (w/w),,,洽益化學股份有限公司,,118-04-06,,標示,條碼,使用範圍
農藥製              05776,福賽絕,福氣來,GR  粒劑,10(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-04-13,,標示,條碼,使用範圍
農藥製              05777,達滅芬,禾力發,WP  可溼性粉劑,50(%) (w/w),,,世大農化工廠股份有限公司,,118-04-16,,標示,條碼,使用範圍
農藥製              05778,待普克利,法-財祝平安,EC  乳劑,45.5(%) (w/w),,A,大成化學工業股份有限公司,,118-04-21,,標示,條碼,使用範圍
農藥製              05779,嘉賜黴素,加速沒事,UL  超低容量液劑,3(%) (w/w),,,嘉農企業股份有限公司,,118-04-29,,標示,條碼,使用範圍
農藥製              05780,丁基拉草,,EC  乳劑,32(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-04-29,,標示,條碼,使用範圍
農藥製              05781,益達胺,練武功,SC  水懸劑,18.2(%) (w/w),,,正農化學股份有限公司,,118-04-30,,標示,條碼,使用範圍
農藥製              05782,普克利,速立得,EC  乳劑,25(%) (w/w),,,安旺特股份有限公司,,118-05-04,,標示,條碼,使用範圍
農藥製              05783,因滅汀,日產虫蹺蹺,EC  乳劑,2.15(%) (w/w),,,台灣日產化工股份有限公司,,118-05-11,,標示,條碼,使用範圍
農藥製              05784,馬拉松,果蠅寶,WP  可溼性粉劑,50(%) (w/w),,,安旺特股份有限公司,,118-05-12,,標示,條碼,使用範圍
農藥製              05785,嘉賜黴素,稻會順,UL  超低容量液劑,3(%) (w/w),,,日農科技股份有限公司,,118-05-22,,標示,條碼,使用範圍
農藥製              05786,腈硫醌銅,联联興,WP  可溼性粉劑,55(%) (w/w),,A,臺聯實業股份有限公司,,118-05-22,,標示,條碼,使用範圍
農藥製              05787,嘉賜黴素,農賜米,WP  可溼性粉劑,2(%) (w/w),,,日農科技股份有限公司,,118-05-22,,標示,條碼,使用範圍
農藥製              05789,芬普尼,益保丹,GR  粒劑,0.3(%) (w/w),,,洽益化學股份有限公司,,118-06-04,,標示,條碼,使用範圍
農藥製              05791,布芬淨,双殺,WP  可溼性粉劑,25(%) (w/w),,,臺聯實業股份有限公司,,118-07-03,,標示,條碼,使用範圍
農藥製              05792,亞托敏,非常霸,SC  水懸劑,23(%) (w/w),,,臺聯實業股份有限公司,,118-07-03,,標示,條碼,使用範圍
農藥製              05793,平克座,粉煞,EW  水基乳劑,19(%) (w/w),,,臺聯實業股份有限公司,,118-07-03,,標示,條碼,使用範圍
農藥製              05794,依普同,燕子依普同,SC  水懸劑,23.7(%) (w/w),,,臺益工業股份有限公司,,118-07-06,,標示,條碼,使用範圍
農藥製              05795,撲克拉錳,包您豪讚,WP  可溼性粉劑,50(%) (w/w),,,台灣日產化工股份有限公司,,118-07-06,,標示,條碼,使用範圍
農藥製              05796,福隆納乃得,指揮官,SC  水懸劑,30(%) (w/w),,A,臺益工業股份有限公司,,118-07-08,,標示,條碼,使用範圍
農藥製              05798,邁克尼,粉害怕,WP  可溼性粉劑,40(%) (w/w),,,國豐化學工業股份有限公司,,118-07-09,,標示,條碼,使用範圍
農藥製              05799,益達胺,速好掌,SC  水懸劑,18.2(%) (w/w),,,好速化學股份有限公司,,118-07-24,,標示,條碼,使用範圍
農藥製              05800,待普克利,利十利,EC  乳劑,45.5(%) (w/w),,A,聯利農業科技股份有限公司,,118-07-24,,標示,條碼,使用範圍
農藥製              05802,丁基加保扶,龍通霸,EC  乳劑,48.34(%) (w/w),,,漢寶工業有限公司,,118-07-24,,標示,條碼,使用範圍
農藥製              05803,巴克素,妥擋好,SC  水懸劑,23(%) (w/w),,,日農科技股份有限公司,,118-07-24,,標示,條碼,使用範圍
農藥製              05804,嘉賜黴素,燕子嘉賜黴素,UL  超低容量液劑,3(%) (w/w),,,臺益工業股份有限公司,,118-07-24,,標示,條碼,使用範圍
農藥製              05805,菲克利,金優銹,SC  水懸劑,23(%) (w/w),,,臺益工業股份有限公司,,118-07-28,,標示,條碼,使用範圍
農藥製              05807,托福松,抗蟲得,GR  粒劑,10(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-08-10,,標示,條碼,使用範圍
農藥製              05808,因滅汀,金速效,EC  乳劑,2.15(%) (w/w),,,臺聯實業股份有限公司,,118-08-12,,標示,條碼,使用範圍
農藥製              05809,嘉賜黴素,斯米隆,SL  溶液,2(%) (w/w),,,興農股份有限公司,,118-08-18,,標示,條碼,使用範圍
農藥製              05810,賓克隆,粒粒旺,WP  可溼性粉劑,25(%) (w/w),,,富農化學工業股份有限公司,,118-08-18,,標示,條碼,使用範圍
農藥製              05811,撲克拉,有夠好,EW  水基乳劑,25(%) (w/w),,,立農化學股份有限公司,,118-08-18,,標示,條碼,使用範圍
農藥製              05812,益達胺,一帖靈,SC  水懸劑,18.2(%) (w/w),,,利台化學工業股份有限公司,,118-08-24,,標示,條碼,使用範圍
農藥製              05813,百滅寧,法－財上豪,EW  水基乳劑,10(%) (w/w),,,大成化學工業股份有限公司,,118-08-21,,標示,條碼,使用範圍
農藥製              05814,因滅汀,農沒蟲,EC  乳劑,2.15(%) (w/w),,,日農科技股份有限公司,,118-08-26,,標示,條碼,使用範圍
農藥製              05816,因滅汀,滅蟲素,EC  乳劑,2.15(%) (w/w),,,洽益化學股份有限公司,,118-10-02,,標示,條碼,使用範圍
農藥製              05817,嘉賜圃,速米旺,EW  水基乳劑,26.8(%) (w/w),,A,大勝化學工業股份有限公司,,118-10-06,,標示,條碼,使用範圍
農藥製              05818,百速隆,稻炭吉,SC  水懸劑,10(%) (w/w),,,臺聯實業股份有限公司,,118-10-06,,標示,條碼,使用範圍
農藥製              05819,嘉賜三賽唑,金豪稻陣,WP  可溼性粉劑,20(%) (w/w),,A,日農科技股份有限公司,,118-10-12,,標示,條碼,使用範圍
農藥製              05820,第滅寧,好歡喜,SC  水懸劑,2.4(%) (w/w),,,好速化學股份有限公司,,118-10-12,,標示,條碼,使用範圍
農藥製              05822,護賽寧,尚硬角,SL  溶液,5(%) (w/w),,,臺聯實業股份有限公司,,118-10-20,,標示,條碼,使用範圍
農藥製              05823,護賽寧,老仙角,EC  乳劑,31.6(%) (w/w),,,臺聯實業股份有限公司,,118-10-20,,標示,條碼,使用範圍
農藥製              05824,滅草胺,地清,SC  水懸劑,43.1(%) (w/w),,,興農股份有限公司,,118-10-20,,標示,條碼,使用範圍
農藥製              05825,畢芬寧,果金賺,EC  乳劑,2.8(%) (w/w),,,臺聯實業股份有限公司,,118-10-28,,標示,條碼,使用範圍
農藥製              05826,腈硫醌,尚紅,WP  可溼性粉劑,70(%) (w/w),,,臺聯實業股份有限公司,,118-10-29,,標示,條碼,使用範圍
農藥製              05827,撲克拉,包妥當,EW  水基乳劑,25(%) (w/w),,,國豐化學工業股份有限公司,,118-11-04,,標示,條碼,使用範圍
農藥製              05828,芬普蟎,蛛擱亮,SC  水懸劑,5(%) (w/w),,,利台化學工業股份有限公司,,118-11-05,,標示,條碼,使用範圍
農藥製              05829,二福隆,燕子二福隆,WP  可溼性粉劑,25(%) (w/w),,,臺益工業股份有限公司,,118-11-10,,標示,條碼,使用範圍
農藥製              05830,第滅寧,班長,SC  水懸劑,2.4(%) (w/w),,,利台化學工業股份有限公司,,118-11-10,,標示,條碼,使用範圍
農藥製              05831,賽洛寧,新農夫,WG  水分散性粒劑,5(%) (w/w),,,國豐化學工業股份有限公司,,118-11-16,,標示,條碼,使用範圍
農藥製              05832,亞滅培,猛龍,SP  水溶性粉劑,20(%) (w/w),,,光華化學股份有限公司,,118-11-24,,標示,條碼,使用範圍
農藥製              05834,伏寄普,農大帥,EC  乳劑,17.5(%) (w/w),,,臺聯實業股份有限公司,,118-12-10,,標示,條碼,使用範圍
農藥製              05835,三氯比,擋藤,EC  乳劑,61.6(%) (w/w),,,嘉泰企業股份有限公司,,118-12-21,,標示,條碼,使用範圍
農藥製              05836,待克利,易治炭-精,SC  水懸劑,24.9(%) (w/w),,,嘉農企業股份有限公司,,118-12-21,,標示,條碼,使用範圍
農藥製              05838,丁基加保扶,水冬冬,GR  粒劑,5(%) (w/w),,,世大農化工廠股份有限公司,,118-12-22,,標示,條碼,使用範圍
農藥製              05839,益收生長素,生萬年,SL  溶液,39.5(%) (w/w),,,臺聯實業股份有限公司,,118-12-22,,標示,條碼,使用範圍
農藥製              05840,賽速安,賜久安,SG  水溶性粒劑,25(%) (w/w),,,聯利農業科技股份有限公司,,118-12-22,,標示,條碼,使用範圍
農藥製              05841,亞滅培,,SP  水溶性粉劑,20(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-12-22,,標示,條碼,使用範圍
農藥製              05842,因滅汀,速滅汀,EC  乳劑,2.15(%) (w/w),,,好速化學股份有限公司,,118-12-22,,標示,條碼,使用範圍
農藥製              05843,賓克隆,綜穗寧,SC  水懸劑,23.2(%) (w/w),,,功力化學工業股份有限公司,,118-12-28,,標示,條碼,使用範圍
農藥製              05844,鋅錳滅達樂,露疫佳,WP  可溼性粉劑,58(%) (w/w),,A,正農化學股份有限公司,,119-01-05,,標示,條碼,使用範圍
農藥製              05845,賽速安,閣來討,SG  水溶性粒劑,25(%) (w/w),,,國豐化學工業股份有限公司,,119-01-08,,標示,條碼,使用範圍
農藥製              05846,嘉賜黴素,歲旺,UL  超低容量液劑,3(%) (w/w),,,世大農化工廠股份有限公司,,119-01-22,,標示,條碼,使用範圍
農藥製              05847,巴克素,擋ㄟ條,SC  水懸劑,23(%) (w/w),,,世大農化工廠股份有限公司,,119-01-22,,標示,條碼,使用範圍
農藥製              05848,達滅芬,農會露,WP  可溼性粉劑,50(%) (w/w),,,中華民國農會附設各級農會農化廠,,119-01-27,,標示,條碼,使用範圍
農藥製              05849,固殺草,富農達,SL  溶液,13.5(%) (w/w),,,富農化學工業股份有限公司,,119-01-27,,標示,條碼,使用範圍
農藥製              05850,益達胺,金太極,SC  水懸劑,18.2(%) (w/w),,,光華化學股份有限公司,,119-02-24,,標示,條碼,使用範圍
農藥製              05851,菲克利,金四喜,SC  水懸劑,23(%) (w/w),,,正農化學股份有限公司,,119-03-05,,標示,條碼,使用範圍
農藥製              05852,亞滅培,剋粉蝨,SP  水溶性粉劑,20(%) (w/w),,,富農化學工業股份有限公司,,119-03-09,,標示,條碼,使用範圍
農藥製              05853,氫氧化銅,治束頭,WP  可溼性粉劑,77(%) (w/w),,,興農股份有限公司,,119-03-09,,標示,條碼,使用範圍
農藥製              05854,第滅寧,大成禧-精,EW  水基乳劑,2.8(%) (w/w),,,大成化學工業股份有限公司,,119-03-09,,標示,條碼,使用範圍
農藥製              05855,亞滅培,通蝨強固勇,SP  水溶性粉劑,20(%) (w/w),,,世大農化工廠股份有限公司,,119-03-12,,標示,條碼,使用範圍
農藥製              05856,嘉賜黴素,卡司敏,SL  溶液,2(%) (w/w),,,富農化學工業股份有限公司,,119-03-12,,標示,條碼,使用範圍
農藥製              05857,畢達本,蟎落地,WP  可溼性粉劑,20(%) (w/w),,,洽益化學股份有限公司,,119-03-12,,標示,條碼,使用範圍
農藥製              05858,百利普芬,老蝨好,SC  水懸劑,11(%) (w/w),,,瑞芳植物保護股份有限公司,,119-03-12,,標示,條碼,使用範圍
農藥製              05859,畢達本,蟎蠔苚,WP  可溼性粉劑,20(%) (w/w),,,臺益工業股份有限公司,,119-03-19,,標示,條碼,使用範圍
農藥製              05861,撲克拉,真大咖,EW  水基乳劑,25(%) (w/w),,,臺聯實業股份有限公司,,119-04-06,,標示,條碼,使用範圍
農藥製              05862,亞滅培,燕子亞滅培,SP  水溶性粉劑,20(%) (w/w),,,臺益工業股份有限公司,,119-04-07,,標示,條碼,使用範圍
農藥製              05863,嘉賜三賽唑,卡斯旺,WP  可溼性粉劑,20(%) (w/w),,A,安旺特股份有限公司,,119-04-07,,標示,條碼,使用範圍
農藥製              05864,嘉賜銅,加速通,WP  可溼性粉劑,81.3(%) (w/w),,A,東和化學企業股份有限公司,,119-04-09,,標示,條碼,使用範圍
農藥製              05865,亞托敏,惠光邁凡樂,SC  水懸劑,23(%) (w/w),,,惠光股份有限公司,,119-04-12,,標示,條碼,使用範圍
農藥製              05868,嘉賜貝芬,好美丹,WP  可溼性粉劑,43(%) (w/w),,A,好速化學股份有限公司,,119-04-20,,標示,條碼,使用範圍
農藥製              05869,嘉賜快得寧,好吉果,WP  可溼性粉劑,43.5(%) (w/w),,A,臺聯實業股份有限公司,,119-04-21,,標示,條碼,使用範圍
農藥製              05871,嘉賜貝芬,美果仙丹,WP  可溼性粉劑,43(%) (w/w),,A,世大農化工廠股份有限公司,,119-04-21,,標示,條碼,使用範圍
農藥製              05873,三賽唑,稻瘟靈,SC  水懸劑,41.7(%) (w/w),,,洽益化學股份有限公司,,119-04-23,,標示,條碼,使用範圍
農藥製              05874,百速隆,稻挽草,WP  可溼性粉劑,10(%) (w/w),,,好速化學股份有限公司,,119-04-23,,標示,條碼,使用範圍
農藥製              05875,賽洛寧,姜子牙,WG  水分散性粒劑,5(%) (w/w),,,洽益化學股份有限公司,,119-04-23,,標示,條碼,使用範圍
農藥製              05877,益達胺,力霸殺,SC  水懸劑,18.2(%) (w/w),,,日農科技股份有限公司,,119-04-29,,標示,條碼,使用範圍
農藥製              05878,嘉賜銅,佳銅贊,WP  可溼性粉劑,81.3(%) (w/w),,A,興農股份有限公司,,119-04-29,,標示,條碼,使用範圍
農藥製              05879,嘉賜貝芬,嘉芬,WP  可溼性粉劑,43(%) (w/w),,A,臺益工業股份有限公司,,119-05-03,,標示,條碼,使用範圍
農藥製              05880,菲克利,菲常讚,SC  水懸劑,23(%) (w/w),,,東和化學企業股份有限公司,,119-05-03,,標示,條碼,使用範圍
農藥製              05881,嘉賜三賽唑,穗實好,WP  可溼性粉劑,20(%) (w/w),,A,世大農化工廠股份有限公司,,119-05-03,,標示,條碼,使用範圍
農藥製              05882,待普克利,有眉角,EC  乳劑,45.5(%) (w/w),,A,惠光股份有限公司,,119-05-03,,標示,條碼,使用範圍
農藥製              05883,嘉賜快得寧,嘉快,WP  可溼性粉劑,43.5(%) (w/w),,A,臺益工業股份有限公司,,119-05-05,,標示,條碼,使用範圍
農藥製              05884,畢芬寧,旺利星,EC  乳劑,2.8(%) (w/w),,,聯利農業科技股份有限公司,,114-05-05,,標示,條碼,使用範圍
農藥製              05887,嘉賜黴素,龍嘉賜,WP  可溼性粉劑,2(%) (w/w),,,龍燈生物科技股份有限公司,,114-05-05,,標示,條碼,使用範圍
農藥製              05888,畢達本,蟎蜱、斃,SC  水懸劑,20(%) (w/w),,,嘉農企業股份有限公司,,119-05-05,,標示,條碼,使用範圍
農藥製              05889,嘉賜黴素,龍禾賜,UL  超低容量液劑,3(%) (w/w),,,龍燈生物科技股份有限公司,,114-05-14,,標示,條碼,使用範圍
農藥製              05890,得克利,得卡多,EW  水基乳劑,25.9(%) (w/w),,,安旺特股份有限公司,,119-05-14,,標示,條碼,使用範圍
農藥製              05891,芬普蟎,蜱蟎精,SC  水懸劑,5(%) (w/w),,,安旺特股份有限公司,,119-05-14,,標示,條碼,使用範圍
農藥製              05892,佈飛松,黑龜跳仔,EC  乳劑,43(%) (w/w),,,安旺特股份有限公司,,119-05-14,,標示,條碼,使用範圍
農藥製              05893,畢達本,蛛狀元,WP  可溼性粉劑,20(%) (w/w),,,利台化學工業股份有限公司,,114-05-25,,標示,條碼,使用範圍
農藥製              05894,畢達本,畢蟎,WP  可溼性粉劑,20(%) (w/w),,,安旺特股份有限公司,,114-05-25,,標示,條碼,使用範圍
農藥製              05895,賽速安,ㄟ果來,SG  水溶性粒劑,25(%) (w/w),,,洽益化學股份有限公司,,119-05-25,,標示,條碼,使用範圍
農藥製              05896,阿巴汀,勇克蟎,EC  乳劑,2(%) (w/w),,,洽益化學股份有限公司,,119-05-25,,標示,條碼,使用範圍
農藥製              05897,芬普蟎,燕子芬蟎意,SC  水懸劑,5(%) (w/w),,,臺益工業股份有限公司,,114-05-25,,標示,條碼,使用範圍
農藥製              05898,亞托敏,稱豐收,SC  水懸劑,23(%) (w/w),,,興農股份有限公司,,114-05-25,,標示,條碼,使用範圍
農藥製              05899,依芬寧,蝨貝秀,EC  乳劑,10(%) (w/w),,,瑞芳植物保護股份有限公司,,114-05-25,,標示,條碼,使用範圍
農藥製              05900,施得圃,,EC  乳劑,34(%) (w/w),,,中華民國農會附設各級農會農化廠,,119-06-02,,標示,條碼,使用範圍
農藥製              05901,亞滅培,蚜滅跌,SP  水溶性粉劑,20(%) (w/w),,,嘉農企業股份有限公司,,114-06-10,,標示,條碼,使用範圍
農藥製              05902,普拔克,真甘丹,SL  溶液,39.5(%) (w/w),,,惠光股份有限公司,,119-06-10,,標示,條碼,使用範圍
農藥製              05903,阿巴汀,壹級好,EC  乳劑,2(%) (w/w),,,好速化學股份有限公司,,114-06-28,,標示,條碼,使用範圍
農藥製              05904,亞托敏,揪稱,SC  水懸劑,23(%) (w/w),,,瑞芳植物保護股份有限公司,,119-06-28,,標示,條碼,使用範圍
農藥製              05905,嘉賜貝芬,祥豪配,WP  可溼性粉劑,43(%) (w/w),,A,日農科技股份有限公司,,119-06-29,,標示,條碼,使用範圍
農藥製              05906,三賽唑,除熱贊,WP  可溼性粉劑,75(%) (w/w),,,惠光股份有限公司,,119-07-05,,標示,條碼,使用範圍
農藥製              05907,待克利,炭克淨,EC  乳劑,24.9(%) (w/w),,,億豐農化廠股份有限公司,,114-07-06,,標示,條碼,使用範圍
農藥製              05908,亞托敏,第一金,SC  水懸劑,23(%) (w/w),,,利台化學工業股份有限公司,,114-07-06,,標示,條碼,使用範圍
農藥製              05909,鋅錳乃浦,好醫生,SC  水懸劑,33(%) (w/w),,,日農科技股份有限公司,,119-07-13,,標示,條碼,使用範圍
農藥製              05910,芬化利,百達克,EC  乳劑,20(%) (w/w),,,日農科技股份有限公司,,119-07-13,,標示,條碼,使用範圍
農藥製              05911,芬滅松,線虫靈,GR  粒劑,10(%) (w/w),,,正農化學股份有限公司,,114-07-13,,標示,條碼,使用範圍
農藥製              05912,亞托敏,稱興農,WG  水分散性粒劑,50(%) (w/w),,,興農股份有限公司,,114-07-13,,標示,條碼,使用範圍
農藥製              05913,嘉賜貝芬,萬寶丹,WP  可溼性粉劑,43(%) (w/w),,A,利台化學工業股份有限公司,,114-07-13,,標示,條碼,使用範圍
農藥製              05914,嘉賜黴素,卡斯安,WP  可溼性粉劑,2(%) (w/w),,,安旺特股份有限公司,,114-07-13,,標示,條碼,使用範圍
農藥製              05915,益收生長素,美果素,SL  溶液,39.5(%) (w/w),,,正農化學股份有限公司,,114-07-30,,標示,條碼,使用範圍
農藥製              05916,得芬諾,穩好,SC  水懸劑,19.7(%) (w/w),,,洽益化學股份有限公司,,114-07-30,,標示,條碼,使用範圍
農藥製              05919,達有龍,利旺,WP  可溼性粉劑,80(%) (w/w),,,正農化學股份有限公司,,114-08-02,,標示,條碼,使用範圍
農藥製              05920,亞托敏,稱全台,SC  水懸劑,23(%) (w/w),,,嘉農企業股份有限公司,,114-08-11,,標示,條碼,使用範圍
農藥製              05921,三賽唑,包好友,WP  可溼性粉劑,75(%) (w/w),,,國豐化學工業股份有限公司,,114-08-11,,標示,條碼,使用範圍
農藥製              05922,達有龍,新利旺,SC  水懸劑,40(%) (w/w),,,正農化學股份有限公司,,114-08-11,,標示,條碼,使用範圍
農藥製              05923,固殺草,根斃斬,SL  溶液,18.02(%) (w/w),,,大成化學工業股份有限公司,,119-08-11,,標示,條碼,使用範圍
農藥製              05924,貝芬替,,SC  水懸劑,50(%) (w/w),,,台農三和化工股份有限公司,,114-08-18,,標示,條碼,使用範圍
農藥製              05925,二福隆,土地公,WP  可溼性粉劑,25(%) (w/w),,,安旺特股份有限公司,,114-08-26,,標示,條碼,使用範圍
農藥製              05926,嘉賜三賽唑,好上稻,WP  可溼性粉劑,20(%) (w/w),,A,東和化學企業股份有限公司,,114-08-26,,標示,條碼,使用範圍
農藥製              05927,嘉賜黴素,易生素,UL  超低容量液劑,3(%) (w/w),,,東和化學企業股份有限公司,,119-08-26,,標示,條碼,使用範圍
農藥製              05928,丁基賽伏草,禾除草,EC  乳劑,10(%) (w/w),,,臺聯實業股份有限公司,,114-08-26,,標示,條碼,使用範圍
農藥製              05929,亞滅寧,進財,EC  乳劑,10(%) (w/w),,,日農科技股份有限公司,,114-08-30,,標示,條碼,使用範圍
農藥製              05930,嘉賜快得寧,哥倆好,WP  可溼性粉劑,43.5(%) (w/w),,A,日農科技股份有限公司,,114-10-04,,標示,條碼,使用範圍
農藥製              05931,百利普芬,無悍介,SC  水懸劑,11(%) (w/w),,,好速化學股份有限公司,,114-10-04,,標示,條碼,使用範圍
農藥製              05932,納得護賽寧,非常勇,WP  可溼性粉劑,33(%) (w/w),,A,臺聯實業股份有限公司,,114-10-04,,標示,條碼,使用範圍
農藥製              05933,亞托敏,稱好速,SC  水懸劑,23(%) (w/w),,,好速化學股份有限公司,,114-10-04,,標示,條碼,使用範圍
農藥製              05934,百利普芬,介殼淨,EC  乳劑,11(%) (w/w),,,利台化學工業股份有限公司,,114-10-05,,標示,條碼,使用範圍
農藥製              05935,賽洛寧,勁通用,ME  微乳劑,2.5(%) (w/w),,,日農科技股份有限公司,,114-10-11,,標示,條碼,使用範圍
農藥製              05936,伏寄普,園帥,EC  乳劑,17.5(%) (w/w),,,安旺特股份有限公司,,114-10-26,,標示,條碼,使用範圍
農藥製              05937,因滅汀,呼你勇,SG  水溶性粒劑,5(%) (w/w),,,洽益化學股份有限公司,,114-10-26,,標示,條碼,使用範圍
農藥製              05938,三賽唑,稻熱友,WP  可溼性粉劑,75(%) (w/w),,,中華民國農會附設各級農會農化廠,,114-10-26,,標示,條碼,使用範圍
農藥製              05939,芬普蟎,包尅蟎,SC  水懸劑,5(%) (w/w),,,聯利農業科技股份有限公司,,114-10-26,,標示,條碼,使用範圍
農藥製              05940,亞托敏,稱天下,SC  水懸劑,23(%) (w/w),,,聯利農業科技股份有限公司,,114-10-26,,標示,條碼,使用範圍
農藥製              05941,固殺草,無草煩,SL  溶液,13.5(%) (w/w),,,嘉農企業股份有限公司,,114-10-26,,標示,條碼,使用範圍
農藥製              05943,菲克利,好吉調,EC  乳劑,10(%) (w/w),,,日農科技股份有限公司,,114-11-03,,標示,條碼,使用範圍
農藥製              05944,嘉賜黴素,稻纍王,WP  可溼性粉劑,2(%) (w/w),,,臺灣庵原農藥股份有限公司,,114-11-03,,標示,條碼,使用範圍
農藥製              05945,百利普芬,聯綜,EW  水基乳劑,11(%) (w/w),,,聯利農業科技股份有限公司,,114-11-09,,標示,條碼,使用範圍
農藥製              05946,亞滅培,天地勇,SP  水溶性粉劑,20(%) (w/w),,,國豐化學工業股份有限公司,,114-11-10,,標示,條碼,使用範圍
農藥製              05947,亞托敏,金稱,SC  水懸劑,23(%) (w/w),,,洽益化學股份有限公司,,114-11-22,,標示,條碼,使用範圍
農藥製              05948,益達胺,天地掌,SL  溶液,9.6(%) (w/w),,,台農三和化工股份有限公司,,114-11-24,,標示,條碼,使用範圍
