許可證號碼,普通名稱,廠牌名稱,劑型,含量,Under Permit ,混合,廠商名稱,國外原製造廠,有效日期,備註,標示,條碼,使用範圍
農藥原進            00182,鹼性氯氧化銅,,,90(%) (w/w),UP,,大勝化學工業股份有限公司,"BIEI HAKUDO INDUSTRY CO., LTD. BIEI FACTORY",114-10-05,,標示,條碼,使用範圍
農藥原進            00197,伏寄普,新萬帥,,92(%) (w/w),,,中華民國農會附設各級農會農化廠,SYNGENTA LIMITED. HUDDERSFIELD MANUFACTURING CENTRE,115-01-24,,標示,條碼,使用範圍
農藥原進            00202,快得寧,,,95(%) (w/w),,,台石股份有限公司,"NICHINO SERVICE CO., LTD., KASHIMA PLANT",115-03-10,,標示,條碼,使用範圍
農藥原進            00203,芬普寧,住友速滅蟎,,90(%) (w/w),,,台灣住友化學股份有限公司,SUMITOMO CHEMICAL INDIA LTD.,115-02-09,,標示,條碼,使用範圍
農藥原進            00208,佈飛松,速力龍,,94(%) (w/w),,,台灣先正達股份有限公司,"SHANDONG KEYUAN CHEMICAL CO., LTD",115-08-23,,標示,條碼,使用範圍
農藥原進            00211,毆蟎多,,,85(%) (w/w),,,聯合農化股份有限公司,LANXESS SOLUTIONS ITALY S.R.L.,115-04-06,,標示,條碼,使用範圍
農藥原進            00213,免扶克,穩克,,90(%) (w/w),,,嘉泰企業股份有限公司,"OAT AGRIO CO., LTD. NARUTO FACTORY",115-04-13,,標示,條碼,使用範圍
農藥原進            00231,維利黴素,,,64(%) (w/w),,,台灣住友化學股份有限公司,"WUHAN KERNEL BIO-TECH CO., LTD.",115-06-17,,標示,條碼,使用範圍
農藥原進            00232,毆殺松,金達,,95(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,115-07-10,,標示,條碼,使用範圍
農藥原進            00251,克福隆,愛扶農,,94(%) (w/w),UP,,中華民國農會附設各級農會農化廠,"ISHIHARA SANGYO KAISHA, LTD. YOKKAICHI PLANT",115-09-06,,標示,條碼,使用範圍
農藥原進            00255,巴拉刈二氯鹽,,,43(%) (w/w),,,台灣先正達股份有限公司,SYNGENTA LIMITED,115-10-07,,標示,條碼,使用範圍
農藥原進            00275,達有龍,,,97(%) (w/w),UP,,聯利農業科技股份有限公司,ADAMA AGAN LTD.,117-05-04,,標示,條碼,使用範圍
農藥原進            00282,嘉賜黴素,,,60(%) (w/w),,,大勝化學工業股份有限公司,"HOKKO CHEMICAL INDUSTRY CO., LTD. NIIGATA FACTORY",117-02-11,,標示,條碼,使用範圍
農藥原進            00284,培丹,,,98(%) (w/w),,,台灣住友化學股份有限公司,"HUNAN HAOHUA CHEMICAL CO., LTD.",117-03-16,,標示,條碼,使用範圍
農藥原進            00285,亞賜圃,,,95(%) (w/w),,,東鋒股份有限公司,"SICHUAN XIAYIDA PESTICIDE CHEMICAL INDUSTRY CO., LTD.",117-02-10,,標示,條碼,使用範圍
農藥原進            00286,汰草龍,田王,,99.3(%) (w/w),,,興農股份有限公司,DECCAN FINE CHEMICALS (INDIA) PRIVATE LIMITED TUNI PLANT,117-02-10,,標示,條碼,使用範圍
農藥原進            00296,愛殺松,,,92(%) (w/w),,,臺灣庵原農藥股份有限公司,PI INDUSTRIES LTD. (DIVISON:PESTICIDES INDIA),117-03-25,,標示,條碼,使用範圍
農藥原進            00306,馬拉松,,,95(%) (w/w),,,台灣富美實有限公司,CHEMINOVA A/S,117-04-06,,標示,條碼,使用範圍
農藥原進            00308,大利松,,,90(%) (w/w),UP,,聯利農業科技股份有限公司,ADAMA MAKHTESHIM LTD.,117-05-04,,標示,條碼,使用範圍
農藥原進            00312,嘉磷塞,隔來草,,95(%) (w/w),UP,,翰金興業有限公司,SUMITOMO CHEMICAL INDIA LIMITED,117-03-15,,標示,條碼,使用範圍
農藥原進            00313,芬化利,,,90(%) (w/w),,,聯合農化股份有限公司,UPL LIMITED,117-03-17,,標示,條碼,使用範圍
農藥原進            00318,殺丹,掃丹,,93(%) (w/w),,,臺灣庵原農藥股份有限公司,"KUMIAI CHEMICAL INDUSTRY CO., LTD. SHIZUOKA FACTORY",117-02-08,,標示,條碼,使用範圍
農藥原進            00324,賽達松,益農產,,92(%) (w/w),,,台灣日產化工股份有限公司,NISSAN CHEMICAL CORPORATION,117-04-06,,標示,條碼,使用範圍
農藥原進            00327,福賽得,雅利特,,96(%) (w/w),,,台灣拜耳股份有限公司,"ZHEJIANG JIAHUA CHEMICAL CO., LTD.",117-04-20,,標示,條碼,使用範圍
農藥原進            00328,草脫淨,賜草淨,,92(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,117-04-28,,標示,條碼,使用範圍
農藥原進            00337,芬化利,,,90(%) (w/w),,,青山貿易有限公司,PI Industries Ltd.,117-07-18,,標示,條碼,使用範圍
農藥原進            00338,賽滅寧,,,92(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,117-05-24,,標示,條碼,使用範圍
農藥原進            00342,賽洛寧,,,81(%) (w/w),,,台灣先正達股份有限公司,SYNGENTA LIMITED,117-06-07,,標示,條碼,使用範圍
農藥原進            00343,西殺草,新汰王,,50(%) (w/w),,,臺灣庵原農藥股份有限公司,"NIPPON SODA CO., LTD. TAKAOKA PLANT",117-06-07,,標示,條碼,使用範圍
農藥原進            00346,施得圃,斯統普,,95(%) (w/w),,,台灣巴斯夫股份有限公司,BASF CORPORATION,117-04-02,,標示,條碼,使用範圍
農藥原進            00347,賽滅寧,,,92(%) (w/w),,,嘉濱貿易有限公司,GHARDA CHEMICALS LIMITED,117-06-13,,標示,條碼,使用範圍
農藥原進            00351,聚乙醛,,,99(%) (w/w),,,台灣赫斯特有限公司,Arxada LTD.,117-05-08,,標示,條碼,使用範圍
農藥原進            00354,撲滅松,住友速滅松,,95(%) (w/w),,,台灣住友化學股份有限公司,"SUMITOMO CHEMICAL CO., LTD. OITA WORKS",117-03-13,,標示,條碼,使用範圍
農藥原進            00372,布芬淨,,,85(%) (w/w),UP,,中華民國農會附設各級農會農化廠,"NICHINO SERVICE CO., LTD., KASHIMA PLANT",117-08-14,,標示,條碼,使用範圍
農藥原進            00374,依滅草,總清,,98.5(%) (w/w),,,台灣巴斯夫股份有限公司,BASF CORPORATION,117-08-18,,標示,條碼,使用範圍
農藥原進            00387,丁基拉草,,,85(%) (w/w),,,松樹國際有限公司,KR LIFESCIENCES PRIVATE LIMITED,117-10-11,,標示,條碼,使用範圍
農藥原進            00392,第滅寧,金星第滅寧,,95(%) (w/w),,,雅飛有限公司,"LG CHEM, LTD.",117-10-26,,標示,條碼,使用範圍
農藥原進            00397,依芬寧,,,96(%) (w/w),UP,,億豐農化廠股份有限公司,"MITSUI CHEMICALS, INC., OMUTA WORKS",117-12-19,,標示,條碼,使用範圍
農藥原進            00400,賽福座,多富民,,97(%) (w/w),,,臺灣庵原農藥股份有限公司,"NIPPON SODA CO., LTD. TAKAOKA PLANT",118-01-13,,標示,條碼,使用範圍
農藥原進            00401,合賽多,日曹蟎,,97(%) (w/w),,,臺灣庵原農藥股份有限公司,"NIPPON SODA CO., LTD. NIHONGI PLANT",118-01-13,,標示,條碼,使用範圍
農藥原進            00408,益化利,住友瑞發,,79(%) (w/w),,,台灣住友化學股份有限公司,"SUMITOMO CHEMICAL CO., LTD. MISAWA WORKS",118-03-12,,標示,條碼,使用範圍
農藥原進            00412,丁基拉草,,,85(%) (w/w),,,安農股份有限公司,KRISHI RASAYAN (BIHAR),118-03-27,,標示,條碼,使用範圍
農藥原進            00436,愛殺松,,,92(%) (w/w),,,松樹國際有限公司,KRISHI RASAYAN (BIHAR),119-01-05,,標示,條碼,使用範圍
農藥原進            00444,賽滅寧,,,92(%) (w/w),,,聯合農化股份有限公司,SUPERFORM CHEMISTRIES LIMITED,119-03-13,,標示,條碼,使用範圍
農藥原進            00445,達有龍,,,98(%) (w/w),UP,,東鋒股份有限公司,UPL LIMITED,119-03-13,,標示,條碼,使用範圍
農藥原進            00455,芬化利,,,90(%) (w/w),,,嘉濱貿易有限公司,AIMCO PESTICIDES LIMITED,114-06-27,,標示,條碼,使用範圍
農藥原進            00462,賽滅寧,,,90(%) (w/w),,,松樹國際有限公司,KRISHI RASAYAN (BIHAR),114-08-19,,標示,條碼,使用範圍
農藥原進            00463,芬化利,,,90(%) (w/w),,,松樹國際有限公司,KRISHI RASAYAN (BIHAR),114-08-19,,標示,條碼,使用範圍
農藥原進            00464,大滅松,,,85(%) (w/w),,,松樹國際有限公司,KRISHI RASAYAN (BIHAR),114-08-16,,標示,條碼,使用範圍
